Pruned_Heads,Accuracy
0,0.9682267067410906
1,0.9682267067410906
2,0.9690854443967368
3,0.9682267067410906
4,0.9695148132245599
5,0.9690854443967368
6,0.9695148132245599
7,0.970373550880206
8,0.970373550880206
9,0.9695148132245599
10,0.9695148132245599
11,0.969944182052383
12,0.9690854443967368
13,0.9682267067410906
14,0.9609274366680979
15,0.9583512237011593
16,0.9261485616144268
17,0.927436668097896
18,0.8948046371833405
19,0.8922284242164019
20,0.8643194504079004
21,0.8265349935594676
22,0.7969085444396736
23,0.7848862172606269
24,0.7462430227565479
25,0.7483898668956633
26,0.7689995706311722
27,0.7651352511807643
28,0.7647058823529411
29,0.7445255474452555
30,0.7445255474452555
31,0.7140403606698154
32,0.7097466723915844
33,0.6826964362387291
34,0.6814083297552598
35,0.6706741090596823
36,0.6200085873765565
37,0.6114212108200945
38,0.6131386861313869
39,0.6101331043366252
40,0.6144267926148561
41,0.6058394160583942
42,0.5603263203091455
43,0.5397166165736368
44,0.5392872477458136
45,0.5379991412623444
46,0.5375697724345213
47,0.5375697724345213
48,0.5375697724345213
49,0.5375697724345213
50,0.5375697724345213
51,0.5375697724345213
52,0.5375697724345213
53,0.5375697724345213
54,0.5375697724345213
55,0.5375697724345213
56,0.5375697724345213
57,0.5375697724345213
58,0.5375697724345213
59,0.5375697724345213
60,0.5375697724345213
61,0.5375697724345213
62,0.5375697724345213
63,0.5375697724345213
64,0.5375697724345213
65,0.5375697724345213
66,0.5375697724345213
67,0.5375697724345213
68,0.5375697724345213
69,0.5375697724345213
70,0.5375697724345213
71,0.5375697724345213
72,0.5375697724345213
73,0.5375697724345213
74,0.5375697724345213
75,0.5375697724345213
76,0.5375697724345213
77,0.5375697724345213
78,0.5375697724345213
79,0.5375697724345213
80,0.5375697724345213
81,0.5375697724345213
82,0.5375697724345213
83,0.5375697724345213
84,0.5375697724345213
85,0.5375697724345213
86,0.5375697724345213
87,0.5375697724345213
88,0.5375697724345213
89,0.5375697724345213
90,0.5375697724345213
91,0.5375697724345213
92,0.5375697724345213
93,0.5375697724345213
94,0.5375697724345213
95,0.5375697724345213
96,0.5375697724345213
97,0.5375697724345213
98,0.5375697724345213
99,0.5375697724345213
100,0.5375697724345213
101,0.5375697724345213
102,0.5375697724345213
103,0.5375697724345213
104,0.5375697724345213
105,0.5375697724345213
106,0.5375697724345213
107,0.5375697724345213
108,0.5375697724345213
109,0.5375697724345213
110,0.5375697724345213
111,0.5375697724345213
112,0.5375697724345213
113,0.5375697724345213
114,0.5375697724345213
115,0.5375697724345213
116,0.5375697724345213
117,0.5375697724345213
118,0.5375697724345213
119,0.5375697724345213
120,0.5375697724345213
121,0.5375697724345213
122,0.5375697724345213
123,0.5375697724345213
124,0.5375697724345213
125,0.5375697724345213
126,0.5375697724345213
127,0.5375697724345213
128,0.5375697724345213
129,0.5375697724345213
130,0.5375697724345213
131,0.5375697724345213
132,0.5375697724345213
133,0.5375697724345213
134,0.5375697724345213
135,0.5375697724345213
136,0.5375697724345213
137,0.5375697724345213
138,0.5375697724345213
139,0.5375697724345213
140,0.5375697724345213
141,0.5375697724345213
142,0.5375697724345213
143,0.5375697724345213
144,0.5375697724345213
