Pruned_Heads,Accuracy
0,0.844829343
12,0.314518594
24,0.473560876
36,0.327356088
48,0.349261335
60,0.327254203
72,0.377789098
84,0.318390219
96,0.316963831
108,0.321039226
120,0.318186449
132,0.318186449
144,0.318186449
